buf_size,prod_or_cons,pk_config,is_fair,randomization,operation_nou
10000,true,1000,false,true,1100
10000,false,1000,false,true,1128
10000,true,1000,false,true,1128
10000,false,1000,false,true,1128
10000,true,1000,false,true,7
10000,false,1000,false,true,1128
10000,true,1000,false,true,1123
10000,false,1000,false,true,1115
10000,true,1000,false,true,950
10000,false,1000,false,true,55
10000,true,1000,false,true,470
10000,false,1000,false,true,1128
10000,true,1000,false,true,976
10000,false,1000,false,true,1124
10000,true,1000,false,true,19
10000,false,1000,false,true,1128
10000,true,1000,false,true,7
10000,false,1000,false,true,1128
10000,true,1000,false,true,233
10000,false,1000,false,true,1128
10000,true,1000,false,true,1085
10000,false,1000,false,true,1128
10000,true,1000,false,true,14
10000,false,1000,false,true,1128
10000,true,1000,false,true,1128
10000,false,1000,false,true,1128
10000,true,1000,false,true,10
10000,false,1000,false,true,933
10000,true,1000,false,true,1127
10000,false,1000,false,true,928
10000,true,1000,false,true,84
10000,false,1000,false,true,1122
10000,true,1000,false,true,1127
10000,false,1000,false,true,1127
10000,true,1000,false,true,1126
10000,false,1000,false,true,387
10000,true,1000,false,true,1091
10000,false,1000,false,true,3
10000,true,1000,false,true,7
10000,false,1000,false,true,474
10000,true,1000,false,true,1119
10000,false,1000,false,true,476
10000,true,1000,false,true,1127
10000,false,1000,false,true,22
10000,true,1000,false,true,2
10000,false,1000,false,true,256
10000,true,1000,false,true,1118
10000,false,1000,false,true,10
10000,true,1000,false,true,1124
10000,false,1000,false,true,1127
10000,true,1000,false,true,1124
10000,false,1000,false,true,819
10000,true,1000,false,true,1124
10000,false,1000,false,true,15
10000,true,1000,false,true,1126
10000,false,1000,false,true,1126
10000,true,1000,false,true,1126
10000,false,1000,false,true,804
10000,true,1000,false,true,1126
10000,false,1000,false,true,1118
10000,true,1000,false,true,1117
10000,false,1000,false,true,1126
10000,true,1000,false,true,964
10000,false,1000,false,true,1126
10000,true,1000,false,true,448
10000,false,1000,false,true,114
10000,true,1000,false,true,1121
10000,false,1000,false,true,4
10000,true,1000,false,true,18
10000,false,1000,false,true,6
10000,true,1000,false,true,1126
10000,false,1000,false,true,1126
10000,true,1000,false,true,1112
10000,false,1000,false,true,1126
10000,true,1000,false,true,66
10000,false,1000,false,true,1123
10000,true,1000,false,true,1121
10000,false,1000,false,true,1110
10000,true,1000,false,true,1123
10000,false,1000,false,true,1126
10000,true,1000,false,true,1126
10000,false,1000,false,true,1122
10000,true,1000,false,true,941
10000,false,1000,false,true,1123
10000,true,1000,false,true,1124
10000,false,1000,false,true,993
10000,true,1000,false,true,348
10000,false,1000,false,true,1056
10000,true,1000,false,true,1123
10000,false,1000,false,true,1124
10000,true,1000,false,true,1022
10000,false,1000,false,true,1123
10000,true,1000,false,true,1125
10000,false,1000,false,true,19
10000,true,1000,false,true,3
10000,false,1000,false,true,1116
10000,true,1000,false,true,1122
10000,false,1000,false,true,1069
10000,true,1000,false,true,357
10000,false,1000,false,true,6
10000,true,1000,false,true,1125
10000,false,1000,false,true,1122
10000,true,1000,false,true,822
10000,false,1000,false,true,1124
10000,true,1000,false,true,4
10000,false,1000,false,true,1125
10000,true,1000,false,true,747
10000,false,1000,false,true,824
10000,true,1000,false,true,1125
10000,false,1000,false,true,1123
10000,true,1000,false,true,657
10000,false,1000,false,true,2
10000,true,1000,false,true,1123
10000,false,1000,false,true,1118
10000,true,1000,false,true,1118
10000,false,1000,false,true,1123
10000,true,1000,false,true,1003
10000,false,1000,false,true,1117
10000,true,1000,false,true,1113
10000,false,1000,false,true,14
10000,true,1000,false,true,1124
10000,false,1000,false,true,1123
10000,true,1000,false,true,1120
10000,false,1000,false,true,1124
10000,true,1000,false,true,1121
10000,false,1000,false,true,1124
10000,true,1000,false,true,1053
10000,false,1000,false,true,656
10000,true,1000,false,true,1119
10000,false,1000,false,true,1124
10000,true,1000,false,true,10
10000,false,1000,false,true,16
10000,true,1000,false,true,552
10000,false,1000,false,true,1124
10000,true,1000,false,true,839
10000,false,1000,false,true,1122
10000,true,1000,false,true,1124
10000,false,1000,false,true,3
10000,true,1000,false,true,595
10000,false,1000,false,true,157
10000,true,1000,false,true,1112
10000,false,1000,false,true,1119
10000,true,1000,false,true,819
10000,false,1000,false,true,441
10000,true,1000,false,true,895
10000,false,1000,false,true,7
10000,true,1000,false,true,1122
10000,false,1000,false,true,317
10000,true,1000,false,true,1123
10000,false,1000,false,true,1122
10000,true,1000,false,true,389
10000,false,1000,false,true,254
10000,true,1000,false,true,594
10000,false,1000,false,true,1123
10000,true,1000,false,true,1123
10000,false,1000,false,true,385
10000,true,1000,false,true,812
10000,false,1000,false,true,1120
10000,true,1000,false,true,1122
10000,false,1000,false,true,1123
10000,true,1000,false,true,1123
10000,false,1000,false,true,1122
10000,true,1000,false,true,1123
10000,false,1000,false,true,1123
10000,true,1000,false,true,1121
10000,false,1000,false,true,1123
10000,true,1000,false,true,1123
10000,false,1000,false,true,5
10000,true,1000,false,true,1123
10000,false,1000,false,true,1123
10000,true,1000,false,true,609
10000,false,1000,false,true,1118
10000,true,1000,false,true,1122
10000,false,1000,false,true,1112
10000,true,1000,false,true,1123
10000,false,1000,false,true,1123
10000,true,1000,false,true,823
10000,false,1000,false,true,1116
10000,true,1000,false,true,1122
10000,false,1000,false,true,726
10000,true,1000,false,true,1123
10000,false,1000,false,true,1123
10000,true,1000,false,true,1123
10000,false,1000,false,true,1117
10000,true,1000,false,true,469
10000,false,1000,false,true,1122
10000,true,1000,false,true,959
10000,false,1000,false,true,1039
10000,true,1000,false,true,1122
10000,false,1000,false,true,1122
10000,true,1000,false,true,1122
10000,false,1000,false,true,1122
10000,true,1000,false,true,1122
10000,false,1000,false,true,21
10000,true,1000,false,true,1122
10000,false,1000,false,true,1122
10000,true,1000,false,true,1
10000,false,1000,false,true,1122
10000,true,1000,false,true,1121
10000,false,1000,false,true,1122
10000,true,1000,false,true,1122
10000,false,1000,false,true,1118
10000,true,1000,false,true,1121
10000,false,1000,false,true,1122
10000,true,1000,false,true,1122
10000,false,1000,false,true,1
10000,true,1000,false,true,1122
10000,false,1000,false,true,1066
10000,true,1000,false,true,1119
10000,false,1000,false,true,1122
10000,true,1000,false,true,1119
10000,false,1000,false,true,917
10000,true,1000,false,true,1122
10000,false,1000,false,true,1121
10000,true,1000,false,true,1122
10000,false,1000,false,true,243
10000,true,1000,false,true,1122
10000,false,1000,false,true,1114
10000,true,1000,false,true,1122
10000,false,1000,false,true,1122
10000,true,1000,false,true,1122
10000,false,1000,false,true,933
10000,true,1000,false,true,1122
10000,false,1000,false,true,785
10000,true,1000,false,true,534
10000,false,1000,false,true,1119
10000,true,1000,false,true,1121
10000,false,1000,false,true,1118
10000,true,1000,false,true,1122
10000,false,1000,false,true,1115
10000,true,1000,false,true,10
10000,false,1000,false,true,1122
10000,true,1000,false,true,1121
10000,false,1000,false,true,1122
10000,true,1000,false,true,1122
10000,false,1000,false,true,1104
10000,true,1000,false,true,1121
10000,false,1000,false,true,858
10000,true,1000,false,true,1121
10000,false,1000,false,true,924
10000,true,1000,false,true,103
10000,false,1000,false,true,1119
10000,true,1000,false,true,1121
10000,false,1000,false,true,1
10000,true,1000,false,true,1115
10000,false,1000,false,true,1120
10000,true,1000,false,true,1121
10000,false,1000,false,true,1121
10000,true,1000,false,true,1121
10000,false,1000,false,true,1121
10000,true,1000,false,true,1117
10000,false,1000,false,true,1120
10000,true,1000,false,true,8
10000,false,1000,false,true,1121
10000,true,1000,false,true,1119
10000,false,1000,false,true,1121
10000,true,1000,false,true,1087
10000,false,1000,false,true,1121
10000,true,1000,false,true,12
10000,false,1000,false,true,1121
10000,true,1000,false,true,1121
10000,false,1000,false,true,756
10000,true,1000,false,true,690
10000,false,1000,false,true,4
10000,true,1000,false,true,1069
10000,false,1000,false,true,1121
10000,true,1000,false,true,1121
10000,false,1000,false,true,819
10000,true,1000,false,true,1120
10000,false,1000,false,true,1117
10000,true,1000,false,true,883
10000,false,1000,false,true,1121
10000,true,1000,false,true,1118
10000,false,1000,false,true,18
10000,true,1000,false,true,9
